"","log2FoldChange","pvalue","padj","meanTPM_L14","meanTPM_L7"
"Srsf12",2.46565731718189,1.17834946321626e-16,2.28259383796802e-14,4.69059915299065,0.961554160006695
"Calca",4.59181425829994,1.66232279042656e-16,3.18471818992271e-14,5.99858864427012,0.278180901610222
"Zcchc18",1.47214895876066,1.68377956668654e-16,3.19076227887099e-14,22.6587685179546,7.68679034808513
"Gzmk",3.62667641641314,1.94167347718896e-16,3.63990703239917e-14,163.181928183359,12.343888285155
"Pik3ap1",2.43189279274553,2.51648703660219e-16,4.66728031873644e-14,39.5613896648764,6.9409412838467
"Sh3d19",2.18433993575492,3.15819527544187e-16,5.79578699284775e-14,1.25730437138614,0.242574000458557
"Gsto1",1.94906084586814,3.30252684018531e-16,5.99752634706154e-14,81.982668980383,19.3376868949281
"Stab2",3.59496541102891,3.77162918301277e-16,6.77882300790152e-14,0.834350823285724,0.190219178318017
"Tesk2",2.03110522521774,7.04967646429139e-16,1.25412305590261e-13,9.8036458263685,2.28926556709836
"Tdg-ps",4.65545134988373,8.23124902638539e-16,1.44953126793942e-13,0.830375988202131,0.0279348103019889
"Frmd5",2.27042596667019,9.95503795533423e-16,1.73556131713297e-13,2.49398426901792,0.373337919696589
"Aplp1",2.59090013292466,1.41034992268423e-15,2.43445946060167e-13,2.72711122496797,0.408479690041669
"Marco",3.29374051595214,1.7731835123624e-15,3.03075307397314e-13,2.11180759575508,0.195619733581059
"Rasl12",3.10812469238115,1.93796396241586e-15,3.2802391961901e-13,2.41131995461625,0.266413454420505
"Mrc2",4.395849552842,3.37402937063977e-15,5.65604115843594e-13,3.35657518457604,0.358038867957549
"Mmp13",3.50364620924455,3.68789805458684e-15,6.07931884472803e-13,4.38817111417177,0.356700277625501
"Ppp1r3g",5.35979908976374,3.69627049180436e-15,6.07931884472803e-13,1.11106594948618,0.0436737873388077
"Adam8",3.52746358144856,3.83746308276177e-15,6.25255433503445e-13,26.1140193353522,2.11373001443714
"Tmem140",2.30919062399085,4.02283132070983e-15,6.493892707894e-13,15.50544931231,2.86375852892353
"Serpina3g",3.04379162397335,6.16194830911618e-15,9.85572539643408e-13,186.006196243346,21.2577240950863
"Tmem135",1.57993035937905,7.01388695793341e-15,1.11163732022374e-12,30.019907183796,9.34392969227462
"Spef1l",3.60932394002809,7.66089607710085e-15,1.20324380367726e-12,3.8615989296089,0.299251594834017
"Ckm",2.63771687172871,8.52507072645475e-15,1.32701859861618e-12,4.77378899515252,0.652568756133784
"Klra3",4.15041625717233,9.38846605344184e-15,1.44848245288235e-12,78.3959594434922,4.01943345669785
"Pvrig",3.93872280296831,1.23733907506865e-14,1.89226047673218e-12,37.5997491969378,2.28389305986363
"Vcam1",3.7616865170823,1.32121700112492e-14,2.00296497370538e-12,13.9031918397517,1.11925765532727
"Igf1",2.93970167775209,1.45287755963377e-14,2.18357477367716e-12,7.92031217740069,0.746927463802636
"Phf11c",1.29890854007911,1.73957681777955e-14,2.59211814027082e-12,43.5412614576574,16.6189631326744
"Fcna",3.0698912693311,1.80788897980921e-14,2.67107936220286e-12,4.52028366018969,0.583310717252768
"Faxc",4.80414561680064,2.25266850979313e-14,3.30025401678431e-12,1.29968572290637,0.0421595003033015
"1700017B05Rik",2.24286024295258,2.8424673144698e-14,4.1296312633722e-12,12.1523639873136,2.53054218260912
"Art2b",1.62263007152373,3.0009586761036e-14,4.32386062472646e-12,61.7968113724675,19.7815187653916
"Adgrg5",1.91173663896381,3.23468665028375e-14,4.62242025090548e-12,7.28924622200799,1.81032145200147
"Ppm1b",1.64783105429043,4.40085723878332e-14,6.23776789438605e-12,15.4652725202631,4.66262582957912
"Filip1",4.11811462438574,4.72180252674676e-14,6.6387020363954e-12,12.1935692921768,0.650932333523517
"Speer6-ps1",4.14747574711715,4.86365392446543e-14,6.78343540153043e-12,21.9983630453214,1.15825002457925
"Hebp1",3.25259984882002,5.07585142360754e-14,7.02320585072809e-12,3.09433116463525,0.625153461149396
"1810009J06Rik",-5.89329648042744,5.16726344442405e-14,7.09339140866842e-12,0.0625860497351752,4.05392790806312
"Gm43302",3.35442210739987,6.72531784772172e-14,9.16009307477973e-12,4.78431207695527,0.395305324655719
"Ttyh2",2.20899196289228,7.31529769508015e-14,9.88642635783157e-12,1.46659223743847,0.277599455779344
"Rcn1",1.84866742954746,9.66329734932599e-14,1.29592250760115e-11,18.7794698220809,4.81574723251587
"Stfa3",-2.80296223839326,1.00286666068378e-13,1.33465476048557e-11,1.74535110059033,12.5548288962607
"Tchp",1.93100993431363,1.15583639813535e-13,1.52657967917362e-11,68.9408975413561,14.0591799933352
"Kcnmb1",1.80188899129076,1.33747384114763e-13,1.75319691327578e-11,1.92508554238475,0.508876629912762
"Heatr9",4.3402272908031,1.50849047074423e-13,1.9530626267571e-11,5.4818519288902,0.251500334607151
"Srxn1",2.19800833530524,1.51235203976258e-13,1.9530626267571e-11,2.77755912449549,0.573483939908659
"Igf1r",-1.80645395704511,1.52478289555657e-13,1.95463713243627e-11,0.351165811913797,1.47976933187641
"Ikzf4",3.05039746737654,1.66932376728355e-13,2.12430588020594e-11,4.71201492539292,0.499721862120798
"Fam20a",-2.85331032641361,1.82178933297788e-13,2.30152719066205e-11,0.273593560571317,2.09068993079824
"Prr5l",3.22163266701833,1.88134766462347e-13,2.35967015719753e-11,30.4038087688126,3.37069669539978
"Ica1",2.37565032818378,2.33360263501297e-13,2.90600202420115e-11,4.84781815941492,1.09884115652613
"Prune2",2.51347073663457,2.58107741933631e-13,3.19138324317087e-11,1.34595061457687,0.305705360109968
"Sytl2",2.19165417704464,3.58078330112606e-13,4.39629408956561e-11,8.42820975486421,1.59462294083201
"Il1a",3.17629177855016,4.45386445896547e-13,5.42997713130097e-11,2.29360086900078,0.23072899534931
"Insrr",3.71443324923996,5.00502688871672e-13,6.0595582484644e-11,1.59380925641245,0.137674102950138
"Hic1",2.93518497691416,5.18785022514184e-13,6.23758488449123e-11,1.38312028712577,0.156010582623808
"Glis1",4.31392639043472,6.4821371243614e-13,7.74038209767923e-11,6.18543270042988,0.194423035242526
"Nr4a1",-1.69307973304773,6.88993016821307e-13,8.17136343895419e-11,19.3845441109494,61.5790448579885
"Ppp1r3b",3.1533572184098,6.99648214302193e-13,8.24166687036786e-11,2.2991405493247,0.242587796391224
"Rasgef1c",2.52934440563365,8.13729148682169e-13,9.52117716652681e-11,1.39270470426553,0.236948460951019
"Itgb7",-1.72674779467724,9.11928575818219e-13,1.05990418605432e-10,31.4480978507789,94.5984558677545
"Setbp1",2.9573367158159,1.02335805952827e-12,1.18153804038516e-10,1.519234627873,0.180445900070565
"Prr5",3.39633901853496,1.07981686801748e-12,1.23852153138268e-10,4.12715199505121,0.354628937217359
"Tiam1",-1.7298320744083,1.11684263246401e-12,1.27261663100507e-10,1.2298455603549,3.37434754891652
"Rgs1",1.80230614764226,1.42259635934304e-12,1.61048993044068e-10,256.91888484655,67.0096472642501
"Fabp7",3.08770691511074,1.48970380581067e-12,1.67558039680666e-10,9.51504834101173,1.02193254659719
"Tmcc3",2.8288243723107,1.54405146327362e-12,1.72557648786617e-10,4.65742925126839,0.929037988825878
"Slc39a5",3.76402172799236,1.58577971487843e-12,1.76092251905673e-10,1.30913290697775,0.0713767412067975
"Eif4e3",1.52819469512939,1.73863619094725e-12,1.91844198436546e-10,23.237393841844,7.52582214972506
"Csnk1e",1.54707532103498,2.06288782335574e-12,2.26191108882918e-10,6.31566742828018,1.87901824996052
"Bcl2l11",1.26725460299213,2.12768207960091e-12,2.30397573762498e-10,49.8111653085392,19.4733353327299
"Folr2",3.00270359563454,2.12764111202449e-12,2.30397573762498e-10,3.79676455331025,0.482324024115024
"Klf2",-1.62056567756718,2.16852272216572e-12,2.33370525544674e-10,4.55151387626214,14.1618085717181
"Timd4",2.60231033860408,2.31763317215292e-12,2.47887219161435e-10,1.59326064345663,0.239795369482727
"C1qb",2.65181886543341,2.69963356077262e-12,2.86984216454328e-10,117.273899740732,17.2529020231529
"Ube2l6",1.78482866235973,2.9138601790296e-12,3.07880232492134e-10,130.214871503251,35.4025818239713
"Mturn",1.90186356309056,2.98293882265329e-12,3.13280454422514e-10,9.5669265211545,2.3864371455986
"Fosb",-2.40486286535347,3.43916013204179e-12,3.59031842766566e-10,0.371674838441828,2.08301805471487
"Lad1",-2.27137250799194,3.89299671780074e-12,4.0399109986987e-10,0.651096778061089,3.20986044001328
"Cd7",5.33687414868549,4.35692575687854e-12,4.49459429854558e-10,2010.29110484698,43.2511960300714
"Mlkl",1.37512386800379,5.28046684448278e-12,5.41527405686545e-10,26.0614381936849,9.41346000281979
"Alcam",-1.67834603198772,6.06565617192715e-12,6.18413156148409e-10,1.89244320529252,6.28491683042748
"Gzmb",3.15314052693276,6.21190878211707e-12,6.29641963415285e-10,1841.76467822494,193.851076126349
"Slc2a8",1.50494199151423,6.57883281480338e-12,6.6297902481666e-10,7.44203595493522,2.35143767660296
"Mcam",3.56484791146505,7.08906299626721e-12,7.10291518832888e-10,1.07566605811712,0.0777639168449914
"Socs2",2.76473010684324,7.33650338997182e-12,7.3088342914725e-10,5.5789095142274,1.0582663826059
"Coro2a",2.46048751587905,7.88799579123601e-12,7.81359764911412e-10,161.012394862216,18.8542071770648
"Aplp2",1.32887558942496,9.23301619163822e-12,9.09426012909722e-10,45.1270863089858,16.6365017845881
"Lrrk1",3.32941243087195,9.82921518734884e-12,9.62710885259773e-10,37.8626808067056,2.91829557321932
"Appl2",1.57652708571876,1.13911164459463e-11,1.10945655932194e-09,15.5911444180486,5.25915441152352
"Foxo3",1.17379366222882,1.1508707818233e-11,1.11468228946152e-09,6.37993207841753,2.57861976274242
"Il2rb",1.25888402727027,1.21639520833762e-11,1.17163724100321e-09,464.232682532542,190.056499991385
"Cracr2a",1.42469832787127,1.24641486751039e-11,1.19395586814154e-09,14.143063008923,4.42145394810028
"Frrs1",-1.31001173108141,1.28840402360427e-11,1.22743364740529e-09,20.4162447985502,47.9283048242904
"Gbp11",4.70999128259061,1.30561334624681e-11,1.23706864556885e-09,0.792920213794193,0.0344869464654459
"Gpr34",2.82056638549806,1.37112089668814e-11,1.29211468718168e-09,10.0459455774302,1.28601584773667
"Gm2423",-9.96642335024539,1.39154540995206e-11,1.30431197188733e-09,8.75967796765836e-10,4.3248783787015
"Cers4",1.19158236385998,2.07338185120918e-11,1.93301279112197e-09,42.7384676448812,18.8391888646042
