"","log2FoldChange","pvalue","padj","meanTPM_E5","meanTPM_L5"
"Arhgef9",5.658357202005,1.53757259730518e-44,4.02475003070604e-42,0.123825562511228,6.27088007362342
"Gldc",4.6170721930512,6.175862154043e-44,1.59532270800227e-41,0.135687798607387,2.16370915935081
"D630039A03Rik",6.042024600264,7.29378155534894e-44,1.85963012330663e-41,0.063867071360625,4.13361854073933
"Nod1",-2.56787530766789,1.91800090323688e-43,4.82746073491622e-41,17.3980514969394,2.99892559100617
"Padi2",-2.55423900708664,2.36450758948269e-43,5.87595101224356e-41,20.3938190081847,3.20389214813442
"Txndc5",-2.51329187804191,3.94941004144969e-43,9.69185224171753e-41,88.3712377976231,14.7380717633826
"Gzma",-4.79068738492152,4.37847454526196e-43,1.06121249719238e-40,1562.82029788845,55.3071632681295
"Tnfrsf25",-3.66503501336453,1.54227474399176e-42,3.69243143585929e-40,8.38914820008779,0.534050355830136
"Sell",2.33808420889881,1.93430084303434e-42,4.57520411451207e-40,120.012977900667,589.888111457252
"Atp8a2",3.79568235465169,2.88900004847161e-42,6.7520058275708e-40,0.129361003332996,0.701323055489104
"Itih5",4.07799991249531,2.64364128823652e-41,6.10587832595993e-39,0.337203792809933,5.67928462615182
"Ifitm3",3.51189942342565,3.67302776094278e-41,8.38475360498007e-39,14.3644917685645,160.647637750073
"Gypa",-6.99786319824738,7.29033551657682e-41,1.64510191794754e-38,7.81425011221293,0.0548632952040548
"St3gal6",-2.39605108459847,7.80374135781817e-41,1.74094375382598e-38,95.7919780090382,17.0963084404848
"Siglecf",4.8806168648431,9.54456945907347e-41,2.10538188337674e-38,0.0917366961723985,2.46402076928289
"Dgkg",4.47459572624861,1.31770762318504e-40,2.87435956204098e-38,0.0842444236931566,1.91435649782839
"Trat1",-4.4541597231096,1.39521826904766e-40,3.00999176460919e-38,18.2339555131373,0.401467719336265
"Plekhf1",-3.32339923338018,6.10747537872843e-40,1.30328213733909e-37,1.80236541274086,0.171404312132512
"Crem",2.61570918818673,1.80412602249771e-39,3.78121049752908e-37,7.09125597934045,44.8072849538882
"Gstt3",3.55168569999686,1.81048179893915e-39,3.78121049752908e-37,1.74742650912904,18.8012140534457
"Sytl2",-2.58275889758926,2.83349073799178e-39,5.85548317560575e-37,6.90991809165209,1.19178652040291
"Tiam1",3.63671921988722,3.43406539605655e-39,7.02266373493564e-37,0.197259176559626,1.99748637615621
"Nck2",-2.27370894570813,4.26188059160865e-39,8.62569482210937e-37,13.4935050351178,2.51737357457097
"S1pr5",-4.817777467093,4.80751272871342e-39,9.63072345817365e-37,12.5003415471561,0.39482734826312
"Tlr12",-3.67669110714321,5.0376921737626e-39,9.98989623790984e-37,4.19656995116096,0.269779253008281
"Klrd1",-2.38341884331019,6.65698703627755e-39,1.30689969496201e-36,704.358990949418,127.231485895154
"Pdcd1",3.55723120634605,1.2557666534861e-38,2.4409119743801e-36,27.9354987183804,321.360829741067
"Asb2",-3.89285079860251,1.37830714125709e-38,2.65283586246658e-36,4.65810175481757,0.292889553611198
"Tacc2",2.50702865879596,1.63185679745126e-38,3.11035074248185e-36,1.59429517520918,8.98272906593885
"Emp1",-3.04775986739385,4.70001443153966e-38,8.87218108846024e-36,4.72016916318757,0.555360509858748
"Plscr1",2.16084590278603,6.85632319386847e-38,1.28193654230501e-35,21.3446488182405,94.2953721061718
"Pacsin1",2.92012806113004,8.13083884800067e-38,1.50589271947122e-35,2.60310354411456,20.5522191631537
"Edaradd",-3.53484909620619,6.56783609191299e-37,1.20504446875174e-34,1.45005555214804,0.120511709358677
"Srgap3",5.24384500780539,7.44402137492507e-37,1.35315766326416e-34,0.141207333754524,3.8888153658742
"Izumo1r",4.61746844095671,1.51838013340595e-36,2.73475585128675e-34,7.67890766043474,202.914902879533
"Cx3cr1",-3.46390375887166,2.72204522976293e-36,4.85810835915507e-34,34.6751925578132,2.84382658393421
"Nr4a3",3.97953981833451,4.16069962495559e-36,7.35881576911064e-34,0.170427710010444,1.94070186673435
"Ikzf2",3.38419402403247,8.40427283770515e-36,1.47314896740917e-33,1.10411476764843,12.7132021729321
"Tubb6",3.55682324714261,9.91911805916626e-36,1.72329314811993e-33,1.22129775976673,14.1487627135346
"Oxsr1",2.58790894620391,1.6884965720173e-35,2.90776883349506e-33,1.7425089890216,10.4906901685697
"Dop1b",-2.6509934371959,2.71610257342902e-35,4.63674136709204e-33,45.6982101906179,5.23379342356578
"Tpmt",2.61264970156982,5.31219962977425e-35,8.99043992514897e-33,2.64973438245284,19.1501482942989
"Lgals7",9.17550514253663,8.31137452439259e-35,1.39460602275962e-32,0.0534948015234509,40.0939165270681
"Pde2a",-2.93823218004783,9.29665962869026e-35,1.54671204941057e-32,15.9192949961384,2.22005851967248
"Nab2",2.92156655118046,1.54428526831194e-34,2.54768137710085e-32,1.63046141406177,12.3596074859381
"Tmcc2",-5.47468576791699,1.67996704124289e-34,2.74842607947336e-32,4.24151140808099,0.0776425909663627
"Cldn10",4.53589476561925,2.03891468050321e-34,3.30809694278008e-32,0.227202525847315,4.56446513724058
"Fos",4.41546596442847,2.35742917241337e-34,3.79352864859174e-32,0.400142579635854,8.91827348800059
"Gucy1a1",5.28811021194808,2.4364371243533e-34,3.88879135165073e-32,0.0396595394779792,1.1951064127469
"Zan",3.75612360519855,3.4801245402758e-34,5.5098229818302e-32,0.189145744891149,1.19696273398601
"Ptger2",2.35063467764076,3.91460477816452e-34,6.14812168039407e-32,2.27573362059359,11.3733294002869
"Vcam1",-5.89744923681752,4.62502297011849e-34,7.20622626582271e-32,23.7095261860545,0.483365847546023
"Endod1",2.09981313429806,6.21322295352292e-34,9.60456637980802e-32,6.15869656815795,26.0073445569071
"Thy1",-2.19091533476562,1.23786163108256e-33,1.89857027667287e-31,166.634090692779,33.4850861807736
"Il12rb2",-3.78763367693759,1.47345789451198e-33,2.24239731667126e-31,8.19021749829093,0.540269461946853
"Ccl4",2.80718385377331,2.20108717892299e-33,3.32398026897047e-31,63.4802631402916,439.530478158001
"Tnfsf4",5.85984937259507,2.92219912308902e-33,4.37928344919723e-31,0.0578334519734616,3.51801566220151
"Rhd",-6.32837294018318,4.70903946642033e-33,7.00362597005788e-31,6.79740714960336,0.0782705495801248
"Lrrk1",-3.43576783507533,4.7783653833301e-33,7.05329843650651e-31,26.5898051467651,1.5112434633128
"Rtn4",3.23429550575373,6.6347996735021e-33,9.72047665598456e-31,5.15539522842309,55.7939593290977
"Car5b",-2.64819020974633,9.30215627674042e-33,1.35274023722198e-30,11.064031760572,1.71973183524842
"Ccr2",-3.24091137382292,1.04944410187623e-32,1.51490342706133e-30,125.459473659843,11.7262458699505
"Srfbp1",2.43267182685709,1.271792724652e-32,1.82246969126775e-30,9.43473856924243,48.5426241207985
"Ttc39c",-3.87589252683632,2.2037760369129e-32,3.13511095338218e-30,5.4519073503026,0.345441706663688
"Slco4a1",3.39236995724984,2.78681793117688e-32,3.93602946941471e-30,1.8531035020055,20.1225365210916
"Iglc2",-4.53767878634105,2.97817664810664e-32,4.17625456825925e-30,79.2747090635651,3.45148660201582
"Cxxc5",3.97253230078669,9.55614736819582e-32,1.33054102930795e-29,0.474298240753796,7.13589757477893
"S1pr1",-1.98338527938962,1.52987132812374e-31,2.1151009798398e-29,109.468118219301,26.211295907263
"Ppic",3.7203311070622,1.60569509734902e-31,2.20440602455636e-29,0.550214646086363,7.29948633124871
"St14",2.60927871797852,1.71001130669701e-31,2.33131541479692e-29,1.5153676807674,9.28076708483493
"Sh2d1a",-2.30559301208266,1.76187691587095e-31,2.38545983533645e-29,370.926256531003,72.2810669839756
"Gmpr",4.67559005613498,2.75194799156423e-31,3.70042760071157e-29,0.178623107826576,3.7845563995902
"Dusp6",2.41748876531079,2.84447009385854e-31,3.79881883555312e-29,7.22334458261064,38.3048265178966
"Oasl2",2.75484978901932,3.95011743457586e-31,5.23977739699955e-29,2.12062456262334,12.4539515155546
"Decr1",2.10959633401307,5.15617628234735e-31,6.75039929081985e-29,4.89357992225038,19.9179941799813
"Sh3rf1",2.47634454169317,5.15770116963619e-31,6.75039929081985e-29,0.7137547537761,3.75532972654153
"Pou2af1",2.39303682606556,5.2662145201141e-31,6.8467763880053e-29,3.423309699842,17.926473707292
"Fam20a",5.56894198636159,7.38819718443464e-31,9.54243994242242e-29,0.0464934951018701,2.37626215679854
"Oxct1",1.69848391804028,7.93746542766998e-31,1.01848575997397e-28,35.7061391044061,122.00053562769
"Actn2",-4.43819604112198,8.35850766782376e-31,1.06554689957608e-28,49.367252580979,0.621711178768593
"Ccl3",4.17595288402615,9.21166246281314e-31,1.16673133851579e-28,10.0503866205685,177.385505652025
"Atcay",3.77950550680825,1.0068264315695e-30,1.26705234003669e-28,0.142090485824273,1.73855996653395
"Apol7e",-1.88014260429001,1.42954480150313e-30,1.78756837854201e-28,35.1210333184837,9.04416093864073
"Tmem37",-2.97213451881614,1.45766041497785e-30,1.81118919410413e-28,9.04309312008849,1.09482314306144
"Twsg1",3.26150697306083,2.85983967446849e-30,3.53109260938147e-28,1.28040782451128,11.6628522355959
"Trpm1",5.83645657153289,4.05477109323556e-30,4.97520413140003e-28,0.285755295906192,15.436416341408
"As3mt",-2.45413500791706,4.52209377090886e-30,5.51414564661384e-28,49.8665588838416,8.43693177191485
"Ehd4",2.26145936557503,9.79448855372052e-30,1.1869469091768e-27,3.83804367234288,15.6629903900524
"Gas2",3.4663333117816,1.39597805913782e-29,1.6813399544168e-27,0.818532654609338,9.02306334549241
"Slco3a1",-2.6461591037459,1.41582361506927e-29,1.6948444640878e-27,14.5526417033746,2.21848119374246
"Galnt9",3.43033385441255,2.54233795717434e-29,3.02491992577252e-27,0.330263620538455,3.352907374883
"Slc28a2b",2.43714966404683,5.84482267382966e-29,6.91238305618216e-27,1.08398140529934,5.29433465117422
"Farp1",2.56381293370963,6.45146760516197e-29,7.53900071574642e-27,0.281165542245863,1.78020375593104
"Igfbp7",5.05669131558851,6.44298452856136e-29,7.53900071574642e-27,0.116000566770894,3.9997697402355
"3110082I17Rik",2.89283763452975,7.68752872480965e-29,8.93027005476112e-27,1.21096404084837,9.12557860626996
"St6gal1",2.25280409564622,8.60605998424385e-29,9.93848056533384e-27,2.21400761334987,11.4055339299321
"Ms4a4c",1.99057284604699,1.01710522773879e-28,1.16770817724958e-26,54.3178118014098,209.795791900907
"Sytl1",-3.73986248398677,1.19027584142682e-28,1.35857530923787e-26,12.8581889629048,0.98576555202145
"Gramd3",-1.82354116709402,1.72149907206013e-28,1.95355316662916e-26,230.711425266353,64.5633397522847
"Nr4a1",3.5108948661944,1.86143973543551e-28,2.10021752218792e-26,3.38631220755807,40.7927613345529
"Itgad",-3.49304739655873,2.33020582937825e-28,2.61409147670593e-26,2.39031444181343,0.335076841737897
"Sgk1",-2.29301362349267,2.45620057726448e-28,2.73978009845775e-26,79.4159528692093,15.8776281282052
"Cr2",-3.80459170741778,2.74414280544846e-28,3.04367296929741e-26,1.75317693707347,0.128386404332318
"Nfil3",3.73876391021518,2.94849312146546e-28,3.25195600902303e-26,0.27432567765804,3.61464295320934
"Gm6637",-4.81169849128421,6.18911409089686e-28,6.78797138728979e-26,198.13095177767,6.95854047679154
"Ace",2.83241885033193,6.62459480069386e-28,7.2252247292901e-26,0.262195211308711,1.66832518094232
"Esm1",-4.10357639857043,7.17238879861677e-28,7.77946612676489e-26,10.6783833956878,0.578839970541902
"Klra1",3.40164999731326,8.76209262241423e-28,9.45150562435364e-26,0.330916965690656,3.1390584838842
"Hebp1",-3.96450485671554,1.01316610170683e-27,1.08100417982111e-25,6.58282864811502,0.380699940039217
"Tmem38b",2.63697081095257,1.00943122104025e-27,1.08100417982111e-25,2.43298323911853,15.7802097459661
"Gm49368",-4.97988291810911,1.54207657824366e-27,1.63643499373403e-25,6.13672847950216,0.136094107407879
"Zbtb32",3.48599729275293,1.60579293077875e-27,1.69488853855099e-25,16.8954007552005,189.42194689715
"Usp6nl",2.80296144712121,2.12890408363366e-27,2.23500775240085e-25,0.348780516329009,2.53846867977664
"Ccl1",7.8579214759413,3.99128313200614e-27,4.16791864082684e-25,0.0961785259776441,23.4438716269263
